"Todd's Adventures in Slime World (USA, Europe)","Todd's Adventures in Slime World (USA, Europe)%1990%Epyx%Action%General Audience"
"Toki (USA, Europe)","Toki (USA, Europe)%1992%Tad%Platform%General Audience"
"Tournament Cyberball (USA, Europe)","Tournament Cyberball (USA, Europe)%1991%Atari%Sports%General Audience"
"Turbo Sub (USA, Europe)","Turbo Sub (USA, Europe)%1991%Atari%Shooter%General Audience"
"Viking Child (USA, Europe)","Viking Child (USA, Europe)%1991%Imagitec Design%Action%General Audience"
"Warbirds (USA, Europe)","Warbirds (USA, Europe)%1991%Atari%Simulation%General Audience"
"World Class Soccer (USA, Europe)","World Class Soccer (USA, Europe)%1992%Atari%Sports/Soccer%General Audience"
"Xenophobe (USA, Europe)","Xenophobe (USA, Europe)%1990%Atari%Action%General Audience"
"Xybots (USA, Europe)","Xybots (USA, Europe)%1991%Tengen%Action%General Audience"
"Zarlor Mercenary (USA, Europe)","Zarlor Mercenary (USA, Europe)%1990%Epyx%Action%General Audience"
astron,Astron Belt%1983%Bally Midway%Shoot-'Em-Up%General Audience
badlands,Badlands%1984%Konami%Adventure%Animated Violence Mild
bega,Bega's Battle%1983%Data East%Adventure%Suitable For All Ages
cliff,Cliff Hanger%1983%Stern%Adventure%Suitable For All Ages
cobraab,Cobra Command%1988%Data East%Flying%Suitable For All Ages
lair,Dragons Lair%1983%Cinematronics%Adventure%Suitable For All Ages
lair2,Dragons Lair 2%1991%Leland%Adventure%Suitable For All Ages
esh,Esh's Arunmilla%1984%Funai%Adventure%Suitable For All Ages
galaxy,Galaxy Ranger%1983%Bally Midway%Shoot-'Em-Up%Suitable For All Ages
gpworld,GP World%1984%Bally Midway%Driving%Suitable For All Ages
interstellar,Interstellar%1983%Funai%Shoot-'Em-Up%Suitable For All Ages
mach3,M.A.C.H. 3%1983%Mylstar%Flying%Suitable For All Ages
roadblaster,Road Blaster%1985%Data East%Driving%Suitable For All Ages
ace,Space Ace%1984%Cinematronics%Adventure%Suitable For All Ages
sdq,Super Don Quix-Ote%1984%Universal%Adventure%Suitable For All Ages
tq,Thayer's Quest%1984%RDI Video Systems%Adventure%Suitable For All Ages
uvt,Us vs Them%1984%Mylstar%Shoot-'Em-Up%Suitable For All Ages
88games,'88 Games%1988%Konami%Sports/Track & Field%Suitable For All Ages
99lstwark,'99: The Last War (Kyugo)%1985%Sega (Kyugo license)%Shoot-'Em-Up%Suitable For All Ages
99lstwar,'99: The Last War (set 1)%1985%Sega (Proma license)%Shoot-'Em-Up%Suitable For All Ages
99lstwara,'99: The Last War (set 2)%1985%Sega (Proma license)%Shoot-'Em-Up%Suitable For All Ages
5,5%1981%Sega%Maze%Suitable For All Ages
1on1gov,1 on 1 Government (Japan)%2000%Tecmo%Sports/Basketball%Suitable For All Ages
10yard85,"10-Yard Fight '85 (US, Taito license)%1985%Irem (Taito license)%Sports/Football%Suitable For All Ages"
10yardj,10-Yard Fight (Japan)%1983%Irem%Sports/Football%Suitable For All Ages
10yard,"10-Yard Fight (World, set 1)%1983%Irem%Sports/Football%Suitable For All Ages"
gtmra,1000 Miglia: Great 1000 Miles Rally (94/06/13)%1994%Kaneko%Driving%Suitable For All Ages
gtmr,1000 Miglia: Great 1000 Miles Rally (94/07/18)%1994%Kaneko%Driving%Suitable For All Ages
progolf,18 Holes Pro Golf (set 1)%1981%Data East Corporation%Sports/Golf%Suitable For All Ages
1941j,1941: Counter Attack (Japan)%1990%Capcom%Shoot-'Em-Up%Suitable For All Ages
1941u,1941: Counter Attack (USA 900227)%1990%Capcom%Shoot-'Em-Up%Suitable For All Ages
1941,1941: Counter Attack (World 900227)%1990%Capcom%Shoot-'Em-Up%Suitable For All Ages
1941r1,1941: Counter Attack (World)%1990%Capcom%Shoot-'Em-Up%Suitable For All Ages
1942b,1942 (First Version)%1984%Capcom%Shoot-'Em-Up%Suitable For All Ages
pc_1942,1942 (PlayChoice-10)%1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1942a,1942 (Revision A)%1984%Capcom%Shoot-'Em-Up%Suitable For All Ages
1942abl,"1942 (Revision A, bootleg)%1984%bootleg%Shoot-'Em-Up%Suitable For All Ages"
1942,1942 (Revision B)%1984%Capcom%Shoot-'Em-Up%Suitable For All Ages
1942w,1942 (Williams Electronics license)%1985%Capcom (Williams Electronics license)%Shoot-'Em-Up%Suitable For All Ages
1943kai,1943 Kai: Midway Kaisen (Japan)%1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1943b,"1943: Battle of Midway (bootleg, hack of Japan set)%1987%bootleg%Shoot-'Em-Up%Suitable For All Ages"
1943ja,1943: Midway Kaisen (Japan)%1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1943j,"1943: Midway Kaisen (Japan, Rev B)%1987%Capcom%Shoot-'Em-Up%Suitable For All Ages"
1943,1943: The Battle of Midway (Euro)%1987%Capcom%Shoot-'Em-Up%Suitable For All Ages
1943u,"1943: The Battle of Midway (US, Rev C)%1987%Capcom%Shoot-'Em-Up%Suitable For All Ages"
1944j,1944: The Loop Master (Japan 000620)%2000%Eighting / Raizing (Capcom license)%Shoot-'Em-Up%Suitable For All Ages
1944d,1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)%2000%bootleg%Shoot-'Em-Up%Suitable For All Ages
1944,1944: The Loop Master (USA 000620)%2000%Eighting / Raizing (Capcom license)%Shoot-'Em-Up%Suitable For All Ages
bgareggabl,1945 Part-2 (Chinese hack of Battle Garegga)%1996%bootleg%Shoot-'Em-Up%Suitable For All Ages
1945kiii,1945k III%2000%Oriental Soft%Shoot-'Em-Up%Suitable For All Ages
spikes91,1991 Spikes (Italian bootleg)%1991%bootleg%Sports/Volleyball%Suitable For All Ages
19xxa,19XX: The War Against Destiny (Asia 951207)%1996%Capcom%Shoot-'Em-Up%Suitable For All Ages
19xxb,19XX: The War Against Destiny (Brazil 951218)%1996%Capcom%Shoot-'Em-Up%Suitable For All Ages
19xxh,19XX: The War Against Destiny (Hispanic 951218)%1996%Capcom%Shoot-'Em-Up%Suitable For All Ages
19xxjr1,19XX: The War Against Destiny (Japan 951207)%1996%Capcom%Shoot-'Em-Up%Suitable For All Ages
19xxj,19XX: The War Against Destiny (Japan 951225)%1996%Capcom%Shoot-'Em-Up%Suitable For All Ages
19xxd,19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)%1996%bootleg%Shoot-'Em-Up%Suitable For All Ages
19xx,19XX: The War Against Destiny (USA 951207)%1996%Capcom%Shoot-'Em-Up%Suitable For All Ages
openice,2 On 2 Open Ice Challenge (rev 1.21)%1995%Midway%Sports/Hockey%Animated Violence Mild
2020bb,2020 Super Baseball (set 1)%1991%SNK / Pallas%Sports/Baseball%Suitable For All Ages
2020bba,2020 Super Baseball (set 2)%1991%SNK / Pallas%Sports/Baseball%Suitable For All Ages
2020bbh,2020 Super Baseball (set 3)%1991%SNK / Pallas%Sports/Baseball%Suitable For All Ages
m21,21 (Mirco)%1976%Mirco Games%Casino%Suitable For All Ages
3bagflnz,"3 Bags Full (3VXFC5345, New Zealand)%1996%Aristocrat%Casino%Suitable For All Ages"
3bagflvt,"3 Bags Full (5VXFC790, Victoria)%1996%Aristocrat%Casino%Suitable For All Ages"
3countb,3 Count Bout / Fire Suplex (NGM-043)(NGH-043)%1993%SNK%Sports/Wrestling%Life Like Violence Mild
bowl3d,"3-D Bowling%1978%Meadows Games, Inc.%Sports/Bowling%Suitable For All Ages"
30test,30 Test (Remake)%1997%Namco%Miscellaneous%Suitable For All Ages
39in1,39 in 1 MAME bootleg%2004%bootleg%Compilation%Suitable For All Ages
4enraya,4 En Raya%1990%IDSA%Tabletop%Suitable For All Ages
4in1,4 Fun in 1%1981%Armenia / Food and Fun%Compilation%Suitable For All Ages
4dwarrio,4-D Warriors (315-5162)%1985%Coreland / Sega%Shoot-'Em-Up%Suitable For All Ages
jantotsu,4nin-uchi Mahjong Jantotsu%1983%Sanritsu%Casino%Suitable For All Ages
600,600%1981%Konami%Maze%Suitable For All Ages
64streetj,64th. Street - A Detective Story (Japan)%1991%Jaleco%Beat-'Em-Up%Animated Violence Mild
64street,64th. Street - A Detective Story (World)%1991%Jaleco%Beat-'Em-Up%Animated Violence Mild
7mezzo,7 e Mezzo%198?%unknown%Casino%Suitable For All Ages
7ordi,7 Ordi (Korea)%2002%Yun Sung%Casino%Suitable For All Ages
720gr1,"720 Degrees (German, rev 1)%1986%Atari Games%Sports/Skateboarding%Suitable For All Ages"
720g,"720 Degrees (German, rev 2)%1986%Atari Games%Sports/Skateboarding%Suitable For All Ages"
720r1,720 Degrees (rev 1)%1986%Atari Games%Sports/Skateboarding%Suitable For All Ages
720r2,720 Degrees (rev 2)%1986%Atari Games%Sports/Skateboarding%Suitable For All Ages
720r3,720 Degrees (rev 3)%1986%Atari Games%Sports/Skateboarding%Suitable For All Ages
720,720 Degrees (rev 4)%1986%Atari Games%Sports/Skateboarding%Suitable For All Ages
7jigen,7jigen no Youseitachi - Mahjong 7 Dimensions (Japan)%1990%Dynax%Mahjong%Sexual Content Strong
800fath,800 Fathoms%1981%Amenip (US Billiards Inc. license)%Shoot-'Em-Up%Suitable For All Ages
9ballsht,9-Ball Shootout (set 1)%1993%E-Scape EnterMedia (Bundra license)%Sports/Pool and Dart%Suitable For All Ages
9ballsht2,9-Ball Shootout (set 2)%1993%E-Scape EnterMedia (Bundra license)%Sports/Pool and Dart%Suitable For All Ages
9ballsht3,9-Ball Shootout (set 3)%1993%E-Scape EnterMedia (Bundra license)%Sports/Pool and Dart%Suitable For All Ages
9ballshtc,9-Ball Shootout Championship%1993%E-Scape EnterMedia (Bundra license)%Sports/Pool and Dart%Suitable For All Ages
qos,"A Question of Sport (set 1, 39-960-107)%1992%BFM%Quiz%Suitable For All Ages"
qosa,"A Question of Sport (set 2, 39-960-099)%1992%BFM%Quiz%Suitable For All Ages"
qosb,"A Question of Sport (set 3, 39-960-089)%1992%BFM%Quiz%Suitable For All Ages"
ad2083,A. D. 2083%1983%Midcoin%Shoot-'Em-Up%Suitable For All Ages
abcop,A.B. Cop (FD1094 317-0169b)%1990%Sega%Motorcycle%Suitable For All Ages
abscam,Abscam%1981%GL (US Billiards license)%Maze%Suitable For All Ages
abunai,Abunai Houkago - Mou Matenai (Japan 890325)%1989%Green Soft%Tabletop%Sexual Content Strong
ace,Ace%1976%Allied Leisure%Shoot-'Em-Up%Suitable For All Ages
aceattaca,"Ace Attacker (Japan, System 16A, FD1094 317-0060)%1988%Sega%Sports/Volleyball%Suitable For All Ages"
acedrvrw,Ace Driver: Racing Evolution (Rev. AD2)%1994%Namco%Driving%Suitable For All Ages
victlapw,Ace Driver: Victory Lap (Rev. ADV2)%1996%Namco%Driving%Suitable For All Ages
acrobatm,Acrobat Mission%1991%UPL (Taito license)%Shoot-'Em-Up%Suitable For All Ages
dogfgt,Acrobatic Dog-Fight%1984%Technos Japan%Shooter%Suitable For All Ages
dogfgtu,"Acrobatic Dog-Fight (USA)%1985%Data East USA, Inc.%Shooter%Suitable For All Ages"
nss_actr,Act Raiser (Nintendo Super System)%1992%Enix%Platform%Animated Violence Mild
actfancrj,Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)%1989%Data East Corporation%Platform%Suitable For All Ages
actfancr1,Act-Fancer Cybernetick Hyper Weapon (World revision 1)%1989%Data East Corporation%Platform%Suitable For All Ages
actfancr,Act-Fancer Cybernetick Hyper Weapon (World revision 2)%1989%Data East Corporation%Platform%Suitable For All Ages
act2000o3,Action 2000 (Version 1.2)%1999%Amcoe%Casino%Suitable For All Ages
act2000o2,Action 2000 (Version 3.10XT)%1999%Amcoe%Casino%Suitable For All Ages
act2000o,Action 2000 (Version 3.3)%1999%Amcoe%Casino%Suitable For All Ages
act2000vx,Action 2000 (Version 3.30XT Dual)%1999%Amcoe%Casino%Suitable For All Ages
